Team,PTS,REB,AST,STL,BLK,TOV,FG%,3P%,FT%,Win,Loss
Denver Nuggets,106,41.5,26,5.5,3,12,51.3,34.5,83.3,1,1
Miami Heat,102,37,27,5,4,9.5,44.3,40.5,90.9,1,1
