Team,PTS,REB,AST,STL,BLK,TOV,FG%,3P%,FT%,Win,Loss,ESPN Game 3 Win Probability,ESPN Game 4 Win Probability,ESPN Game 5 Win Probability
Denver Nuggets,107,47,26.7,4.7,3.7,12.7,51.3,32.9,82.6,2,1,62.10%,70.60%,81.90%
Miami Heat,99.3,35.7,24.7,5.7,3.7,7.7,41.7,37.6,85.4,1,2,37.90%,29.40%,18.10%
