Team,PTS,REB,AST,STL,BLK,TOV,FG%,3P%,FT%,Win,Loss,ESPN Game 3 Win Probability,ESPN Game 4 Win Probability,ESPN Game 5 Win Probability
Denver Nuggets,107.3,43.8,26.5,6.3,4.5,11.5,50.8,37.6,81.1,3,1,62.10%,70.60%,81.90%
Miami Heat,98.3,36,24.3,4.8,3.5,9.5,42.4,36.6,85.2,1,3,37.90%,29.40%,18.10%
